2020-02-14 09:36:54.884 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.Demo1ApplicationTests], using SpringBootContextLoader
2020-02-14 09:36:54.892 default [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.Demo1ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-02-14 09:36:54.893 default [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.Demo1ApplicationTests]: Demo1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-02-14 09:36:55.087 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.Demo1Application for test class com.example.demo.Demo1ApplicationTests
2020-02-14 09:36:55.230 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-02-14 09:36:55.261 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@730d2164, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@24959ca4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@10289886, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5c86dbc5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@461ad730, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ee203eb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1a5a4e19, org.springframework.test.context.event.EventPublishingTestExecutionListener@7068e664, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@60db1c0e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e78b6a5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@769a1df5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41f69e84, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7975d1d8]
2020-02-14 09:36:55.856 default [main] INFO  com.example.demo.Demo1ApplicationTests - Starting Demo1ApplicationTests on EvanClark with PID 2296 (started by a1527 in G:\My_Document\2019.12.29_软件设计比赛\swc2020-server\sw2020_server)
2020-02-14 09:36:55.858 default [main] INFO  com.example.demo.Demo1ApplicationTests - No active profile set, falling back to default profiles: default
2020-02-14 09:36:58.972 default [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-02-14 09:36:59.572 default [main] INFO  com.example.demo.Demo1ApplicationTests - Started Demo1ApplicationTests in 4.197 seconds (JVM running for 5.838)
2020-02-14 09:37:00.214 default [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
