2020-02-13 10:46:44.031 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.Demo1ApplicationTests], using SpringBootContextLoader
2020-02-13 10:46:44.036 default [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.Demo1ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-02-13 10:46:44.037 default [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.Demo1ApplicationTests]: Demo1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-02-13 10:46:44.133 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.Demo1Application for test class com.example.demo.Demo1ApplicationTests
2020-02-13 10:46:44.240 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-02-13 10:46:44.256 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@12591ac8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5a7fe64f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@38145825, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@41330d4f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1b66c0fb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3e0e1046, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@24c1b2d2, org.springframework.test.context.event.EventPublishingTestExecutionListener@7dc19a70, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@508dec2b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e4f4a5c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@37313c65, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@465232e9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@798162bc]
2020-02-13 10:46:44.531 default [main] INFO  com.example.demo.Demo1ApplicationTests - Starting Demo1ApplicationTests on DESKTOP-81CMARA with PID 52608 (started by 50136 in D:\eclipse-workspace\swc2020-server\sw2020_server)
2020-02-13 10:46:44.532 default [main] INFO  com.example.demo.Demo1ApplicationTests - No active profile set, falling back to default profiles: default
2020-02-13 10:46:46.432 default [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-02-13 10:46:46.812 default [main] INFO  com.example.demo.Demo1ApplicationTests - Started Demo1ApplicationTests in 2.515 seconds (JVM running for 3.514)
2020-02-13 10:46:47.071 default [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
